Show,EpId,ClipId,Start,Stop,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech
HeStutters,0,0,31900320,31948320,0,0,0,0,0,0,0,0,3,1,0,0
HeStutters,0,1,31977120,32025120,0,0,0,0,0,0,0,0,3,1,0,0
HeStutters,0,2,34809760,34857760,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,3,35200640,35248640,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,4,35721920,35769920,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,5,36435040,36483040,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,6,37251200,37299200,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,7,37784640,37832640,0,0,0,0,0,0,0,0,3,2,0,0
HeStutters,0,8,37963520,38011520,0,0,0,0,0,0,0,0,3,2,0,0
HeStutters,0,9,41417440,41465440,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,10,41861760,41909760,0,0,0,0,0,0,0,1,3,0,0,0
HeStutters,0,11,42928800,42976800,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,12,43139360,43187360,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,13,46154240,46202240,0,0,0,0,0,1,0,1,2,0,0,0
HeStutters,0,14,49133440,49181440,0,0,0,1,0,0,0,0,2,0,0,0
HeStutters,0,15,49411840,49459840,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,16,51492320,51540320,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,17,6970880,7018880,0,0,0,0,0,0,0,0,3,1,0,0
HeStutters,0,18,8215200,8263200,0,0,0,1,0,0,0,0,2,1,0,0
HeStutters,0,19,9985280,10033280,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,20,11197600,11245600,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,21,12275840,12323840,0,0,0,0,0,0,1,0,3,0,0,0
HeStutters,0,22,12315840,12363840,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,23,12567200,12615200,0,0,0,0,0,0,1,0,3,0,0,0
HeStutters,0,24,15001760,15049760,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,25,16317280,16365280,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,26,3562240,3610240,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,27,18732320,18780320,0,0,0,1,3,1,0,1,0,0,0,0
HeStutters,0,28,18902240,18950240,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,29,19004000,19052000,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,30,19927520,19975520,0,1,0,0,0,0,2,0,3,0,0,0
HeStutters,0,31,21092480,21140480,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,32,21147520,21195520,0,0,0,0,0,0,0,0,3,0,0,0
