Folder Name	File Name	Sample Rate
HeStutters	0.wav	16000
HeStutters	1.wav	32000
HeStutters	10.wav	32000
HeStutters	11.wav	16000
HeStutters	12.wav	32000
HeStutters	13.wav	32000
HeStutters	14.wav	32000
HeStutters	15.wav	32000
HeStutters	16.wav	32000
HeStutters	17.wav	32000
HeStutters	18.wav	32000
HeStutters	19.wav	32000
HeStutters	2.wav	32000
HeStutters	20.wav	32000
HeStutters	21.wav	32000
HeStutters	22.wav	32000
HeStutters	23.wav	32000
HeStutters	3.wav	32000
HeStutters	4.wav	32000
HeStutters	5.wav	32000
HeStutters	6.wav	32000
HeStutters	7.wav	32000
HeStutters	8.wav	32000
HeStutters	9.wav	44100
HVSA	0.wav	44100
HVSA	1.wav	44100
HVSA	2.wav	44100
HVSA	3.wav	44100
IStutterSoWhat	0.wav	44100
IStutterSoWhat	1.wav	44100
IStutterSoWhat	2.wav	44100
IStutterSoWhat	3.wav	44100
IStutterSoWhat	4.wav	44100
MyStutteringLife	0.wav	44100
MyStutteringLife	1.wav	44100
MyStutteringLife	10.wav	44100
MyStutteringLife	11.wav	44100
MyStutteringLife	12.wav	44100
MyStutteringLife	13.wav	44100
MyStutteringLife	14.wav	44100
MyStutteringLife	15.wav	44100
MyStutteringLife	16.wav	44100
MyStutteringLife	17.wav	44100
MyStutteringLife	18.wav	44100
MyStutteringLife	19.wav	44100
MyStutteringLife	2.wav	44100
MyStutteringLife	20.wav	44100
MyStutteringLife	21.wav	44100
MyStutteringLife	22.wav	44100
MyStutteringLife	23.wav	44100
MyStutteringLife	24.wav	44100
MyStutteringLife	25.wav	44100
MyStutteringLife	26.wav	44100
MyStutteringLife	27.wav	44100
MyStutteringLife	28.wav	44100
MyStutteringLife	29.wav	44100
MyStutteringLife	3.wav	44100
MyStutteringLife	30.wav	44100
MyStutteringLife	31.wav	44100
MyStutteringLife	32.wav	44100
MyStutteringLife	33.wav	44100
MyStutteringLife	34.wav	44100
MyStutteringLife	35.wav	44100
MyStutteringLife	36.wav	44100
MyStutteringLife	37.wav	44100
MyStutteringLife	38.wav	44100
MyStutteringLife	39.wav	44100
MyStutteringLife	4.wav	44100
MyStutteringLife	5.wav	44100
MyStutteringLife	6.wav	44100
MyStutteringLife	7.wav	44100
MyStutteringLife	8.wav	44100
MyStutteringLife	9.wav	44100
